lit_id,title,year,author,doi,document_type,purpose,data_collection,modeling,adaptive_management,sediment_characteristic,sediment_source,covered_topics_ecohydrology,covered_topics_ecohydraulics,covered_topics_ecological_systems,covered_topics_future_conditions,risk_and_uncertainty,special_cases,geography,sustainable_sediment_management,land_use,channel_type,site_names,longitude,latitude
L0001,Characterizing and Mapping Sediment Erodibility of Tuttle Creek Lake in Northeast Kansas,2016,"Bloedel, PM",https://krex.k-state.edu/server/api/core/bitstreams/4cdcf3f4-91f4-4782-9117-98d48f867272/content,Thesis,Analysis,Sediment,Laboratory Analysis,Watershed Planning,Cohesive,"Reservoir Pool,Bank Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,,Tuttle Creek,5.6843418860808e-14,5.6843418860808e-14
L0002,Monitoring Geomorphology to Inform Ecological Outcomes Downstream of Reservoirs Affected by Sediment Release,2024,"Harris, AE, Hernandez-Abrams, DD",http://dx.doi.org/10.21079/11681/48470,ERDC TN,"Analysis,Planning","Bathymetry,Sediment,Ecological","Hydraulic Modeling,Sediment Transport Modeling",Operations,"Cohesive,Sand,Gravel,Suspended",Reservoir Release,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Sediment Release,Not Applicable,,Tuttle Creek,5.6843418860808e-14,5.6843418860808e-14
L0003,"Suspended-sediment loads, reservoir sediment trap efficiency, and upstream and downstream channel stability for Kanopolis and Tuttle Creek Lakes, Kansas",2008,"Juracek, KE",USGS SIR 2011-5187,Government Report,Analysis,"Sediment,Bathymetry",Regression,Watershed Planning,Suspended,"Headcut,Suspended",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,,Tuttle Creek,5.6843418860808e-14,5.6843418860808e-14
L0004,Effect of Water-Injection Dredging (WID) Operations on Water Quality Downstream from Tuttle Creek Reservoir,2024,Kansas Water Science Center,https://www.usgs.gov/centers/kansas-water-science-center/science/effect-water-injection-dredging-wid-operations-water,USGS Report,"Planning,Analysis,Reporting","Water Quality,Sediment",Regression,Operations,Suspended,Reservoir Release,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Sediment Release,Not Applicable,,Tuttle Creek,5.6843418860808e-14,5.6843418860808e-14
L0005,"Analysis of a Hydrosuction Sediment Removal System for Tuttle Creek Lake, Kansas",2019,"Shelley, J",ERDC/TN RSM-19-5,ERDC TN,Operations,Not Applicable,Hydraulic Equations,Operations,Suspended,Reservoir Release,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Sediment Release,Not Applicable,,Tuttle Creek,5.6843418860808e-14,5.6843418860808e-14
L0006,Reservoir Sediment Management Workshop for Tuttle Creek Lake and Perry Lake Reservoirs in the Kansas River Basin,2015,"Shelley, J",ERDC/CHL CHETN-XIV-43,ERDC TN,Planning,Public Participation,Not Applicable,"Operations,Maintenance",Not Applicable,Reservoir Release,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Sediment Release,Not Applicable,,Tuttle Creek,5.6843418860808e-14,5.6843418860808e-14
L0007,Cochiti Baseline Study: A Data Compendium,2013,USACE,https://www.spa.usace.army.mil/Portals/16/docs/civilworks/Cochiti%20Baseline%20Summary.pdf,USACE Report,Reporting,"Bathymetry,Sediment,Ecological",Sediment Transport Modeling,Watershed Planning,"Cohesive,Sand",Not Applicable,Not Applicable,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,,Cochiti,5.6843418860808e-14,5.6843418860808e-14
L0008,"Numerical Sedimentation Study of Shoaling on the Ohio River near Mound City, Illinois",2015,"Abraham, D, Clifton, N, Vessels, B (USACE-ERDC-CHL)",https://usace.contentdm.oclc.org/digital/collection/p266001coll1/id/3911/,ERDC TN,Analysis,"Bathymetry,Sediment","Hydraulic Modeling,Sediment Transport Modeling",Economics,"Sand,Suspended",Suspended,Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,"Ohio River, Mound City, IL",Not Applicable,Not Applicable,,Ohio River,5.6843418860808e-14,5.6843418860808e-14
L0009,Mississippi River channel response to the Bonnet Carré Spillway opening in the 2011 flood and its implications for the design and operation of river diversions,2013,"Allison, MA, Vosburg, BM, Ramirez, MT, Meselhe, EA",http://dx.doi.org/10.1016/j.jhydrol.2012.11.011,Journal Article,Reporting,"Bathymetry,Water Quality,Sediment,Hydraulics",Regression,"Flood risk,watershed planning,Maintenance,Operations","Cohesive,Sand,Suspended",Suspended,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Not Applicable,Lower Mississippi River,Flood diversion,Wetlands,,Bonnet Carré Spillway,5.6843418860808e-14,5.6843418860808e-14
L0010,Calibrating a Sediment Transport Model through a Gravel-Sand Transition: Avoiding Equifinality Errors in HEC-RAS Models of the Puyallup and White Rivers,2017,"Gibson, S, Comport, B, Corum, Z",https://doi.org/10.1061/9780784480625.017,Conference Paper,Analysis,"Bathymetry,Water Quality,Sediment",Sediment Transport Modeling,Flood risk,"Gravel,Sand",Suspended,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Not Applicable,"Washington, USA",Not Applicable,Not Applicable,,Mud Mountain Dam,5.6843418860808e-14,5.6843418860808e-14
