entry_id,lit_id,site_id,site_name,title,year,author,doi,document_type,purpose,data_collection,modeling,adaptive_management,sediment_characteristic,sediment_source,covered_topics_ecohydrology,covered_topics_ecohydraulics,covered_topics_ecological_systems,covered_topics_future_conditions,risk_and_uncertainty,special_cases,geography,sustainable_sediment_management,land_use,channel_type
E00001,L0001,tuttle-creek,Tuttle Creek,Characterizing and Mapping Sediment Erodibility of Tuttle Creek Lake in Northeast Kansas,2016,"Bloedel, PM",https://krex.k-state.edu/server/api/core/bitstreams/4cdcf3f4-91f4-4782-9117-98d48f867272/content,Thesis,Analysis,Sediment,Laboratory Analysis,Watershed Planning,Cohesive,"Reservoir Pool,Bank Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,
E00002,L0002,tuttle-creek,Tuttle Creek,Monitoring Geomorphology to Inform Ecological Outcomes Downstream of Reservoirs Affected by Sediment Release,2024,"Harris, AE, Hernandez-Abrams, DD",http://dx.doi.org/10.21079/11681/48470,ERDC TN,"Analysis,Planning","Bathymetry,Sediment,Ecological","Hydraulic Modeling,Sediment Transport Modeling",Operations,"Cohesive,Sand,Gravel,Suspended",Reservoir Release,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Sediment Release,Not Applicable,
E00003,L0003,tuttle-creek,Tuttle Creek,"Suspended-sediment loads, reservoir sediment trap efficiency, and upstream and downstream channel stability for Kanopolis and Tuttle Creek Lakes, Kansas",2008,"Juracek, KE",USGS SIR 2011-5187,Government Report,Analysis,"Sediment,Bathymetry",Regression,Watershed Planning,Suspended,"Headcut,Suspended",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,
E00004,L0004,tuttle-creek,Tuttle Creek,Effect of Water-Injection Dredging (WID) Operations on Water Quality Downstream from Tuttle Creek Reservoir,2024,Kansas Water Science Center,https://www.usgs.gov/centers/kansas-water-science-center/science/effect-water-injection-dredging-wid-operations-water,USGS Report,"Planning,Analysis,Reporting","Water Quality,Sediment",Regression,Operations,Suspended,Reservoir Release,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Sediment Release,Not Applicable,
E00005,L0005,tuttle-creek,Tuttle Creek,"Analysis of a Hydrosuction Sediment Removal System for Tuttle Creek Lake, Kansas",2019,"Shelley, J",ERDC/TN RSM-19-5,ERDC TN,Operations,Not Applicable,Hydraulic Equations,Operations,Suspended,Reservoir Release,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Sediment Release,Not Applicable,
E00006,L0006,tuttle-creek,Tuttle Creek,Reservoir Sediment Management Workshop for Tuttle Creek Lake and Perry Lake Reservoirs in the Kansas River Basin,2015,"Shelley, J",ERDC/CHL CHETN-XIV-43,ERDC TN,Planning,Public Participation,Not Applicable,"Operations,Maintenance",Not Applicable,Reservoir Release,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Sediment Release,Not Applicable,
E00007,L0007,cochiti,Cochiti,Cochiti Baseline Study: A Data Compendium,2013,USACE,https://www.spa.usace.army.mil/Portals/16/docs/civilworks/Cochiti%20Baseline%20Summary.pdf,USACE Report,Reporting,"Bathymetry,Sediment,Ecological",Sediment Transport Modeling,Watershed Planning,"Cohesive,Sand",Not Applicable,Not Applicable,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,
E00008,L0008,ohio-river,Ohio River,"Numerical Sedimentation Study of Shoaling on the Ohio River near Mound City, Illinois",2015,"Abraham, D, Clifton, N, Vessels, B (USACE-ERDC-CHL)",https://usace.contentdm.oclc.org/digital/collection/p266001coll1/id/3911/,ERDC TN,Analysis,"Bathymetry,Sediment","Hydraulic Modeling,Sediment Transport Modeling",Economics,"Sand,Suspended",Suspended,Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,"Ohio River, Mound City, IL",Not Applicable,Not Applicable,
E00009,L0009,bonnet-carre-spillway,Bonnet Carré Spillway,Mississippi River channel response to the Bonnet Carré Spillway opening in the 2011 flood and its implications for the design and operation of river diversions,2013,"Allison, MA, Vosburg, BM, Ramirez, MT, Meselhe, EA",http://dx.doi.org/10.1016/j.jhydrol.2012.11.011,Journal Article,Reporting,"Bathymetry,Water Quality,Sediment,Hydraulics",Regression,"Flood risk,watershed planning,Maintenance,Operations","Cohesive,Sand,Suspended",Suspended,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Not Applicable,Lower Mississippi River,Flood diversion,Wetlands,
E00010,L0010,mud-mountain-dam,Mud Mountain Dam,Calibrating a Sediment Transport Model through a Gravel-Sand Transition: Avoiding Equifinality Errors in HEC-RAS Models of the Puyallup and White Rivers,2017,"Gibson, S, Comport, B, Corum, Z",https://doi.org/10.1061/9780784480625.017,Conference Paper,Analysis,"Bathymetry,Water Quality,Sediment",Sediment Transport Modeling,Flood risk,"Gravel,Sand",Suspended,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Not Applicable,"Washington, USA",Not Applicable,Not Applicable,
E00011,L0011,madeira-river,Madeira River,Two pool-to-pool spacing periods on large sand-bed rivers: Mega-pools on the Madeira and Mississippi,2019,"Gibson, S, Osorio, A, Creech,C, Amorim, R, Dircksen, M, Dahl, T, Koohafkan, M",https://doi.org/10.1016/j.geomorph.2018.12.021,Journal Article,Analysis,"Bathymetry,Hydraulics","Hydraulic Modeling,Frequency Analysis",Not Applicable,Sand,"Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,,Land Management,Not Applicable,
E00012,L0011,mississippi-river,Mississippi River,Two pool-to-pool spacing periods on large sand-bed rivers: Mega-pools on the Madeira and Mississippi,2019,"Gibson, S, Osorio, A, Creech,C, Amorim, R, Dircksen, M, Dahl, T, Koohafkan, M",https://doi.org/10.1016/j.geomorph.2018.12.021,Journal Article,Analysis,"Bathymetry,Hydraulics","Hydraulic Modeling,Frequency Analysis",Not Applicable,Sand,"Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,,Land Management,Not Applicable,
E00013,L0012,dahla-dam,Dahla Dam,Negotiating Hydraulic Uncertainty in Long Term Reservoir Sediment Models: Simulating Argandab Reservoir Deposition with HEC-RAS,2015,"Gibson, S, Pridal, D",https:/www.sedhyd.org/past/Proceedings%20(1).pdf,Conference Paper,"Planning,Analysis","Bathymetry,Sediment,Hydraulics",Sediment Transport Modeling,"Maintenance,Operations",Sand,Suspended,Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Afghanistan,Deposition Control,Not Applicable,
E00014,L0013,big-rapids-dam,Big Rapids Dam,Environmental Effects of the Big Rapids Dam Remnant Removal,2003,"Healy, DF, Rheaume, SJ, Simpson, JA",https://doi.org/10.3133/wri034136,Government Report,"Reporting,Analysis","Bathymetry,Water Quality,Sediment","Frequency Analysis,Regression",Maintenance,"Suspended,Bedload","Bank erosion,Reservoir release",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Michigan,"Sediment release,dam removal,Depostion control",Not Applicable,
E00015,L0014,arroyo-seco,Arroyo Seco,In situ measurements of post-fire debris flows in southern California: Comparisons of the timing and magnitude of 24 debris-flow events with rainfall and soil moisture conditions,2011,"Kean, JW, Staley, DM, Cannon, SH",https://doi.org/10.1029/2011JF002005,Journal Article,"Operations,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Equations,Frequency Analysis,Regression","Watershed Planning,Operations","Gravel,Sand,Suspended,Rock",Debris,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,"Debris flow,Wildfire",Southern California,Land Management,Not Applicable,
E00016,L0014,jesusita,Jesusita,In situ measurements of post-fire debris flows in southern California: Comparisons of the timing and magnitude of 24 debris-flow events with rainfall and soil moisture conditions,2011,"Kean, JW, Staley, DM, Cannon, SH",https://doi.org/10.1029/2011JF002005,Journal Article,"Operations,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Equations,Frequency Analysis,Regression","Watershed Planning,Operations","Gravel,Sand,Suspended,Rock",Debris,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,"Debris flow,Wildfire",Southern California,Land Management,Not Applicable,
E00017,L0014,dunsmore-2,Dunsmore 2,In situ measurements of post-fire debris flows in southern California: Comparisons of the timing and magnitude of 24 debris-flow events with rainfall and soil moisture conditions,2011,"Kean, JW, Staley, DM, Cannon, SH",https://doi.org/10.1029/2011JF002005,Journal Article,"Operations,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Equations,Frequency Analysis,Regression","Watershed Planning,Operations","Gravel,Sand,Suspended,Rock",Debris,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,"Debris flow,Wildfire",Southern California,Land Management,Not Applicable,
E00018,L0014,dunsmore-1,Dunsmore 1,In situ measurements of post-fire debris flows in southern California: Comparisons of the timing and magnitude of 24 debris-flow events with rainfall and soil moisture conditions,2011,"Kean, JW, Staley, DM, Cannon, SH",https://doi.org/10.1029/2011JF002005,Journal Article,"Operations,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Equations,Frequency Analysis,Regression","Watershed Planning,Operations","Gravel,Sand,Suspended,Rock",Debris,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,"Debris flow,Wildfire",Southern California,Land Management,Not Applicable,
E00019,L0014,big-tujunga,Big Tujunga,In situ measurements of post-fire debris flows in southern California: Comparisons of the timing and magnitude of 24 debris-flow events with rainfall and soil moisture conditions,2011,"Kean, JW, Staley, DM, Cannon, SH",https://doi.org/10.1029/2011JF002005,Journal Article,"Operations,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Equations,Frequency Analysis,Regression","Watershed Planning,Operations","Gravel,Sand,Suspended,Rock",Debris,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,"Debris flow,Wildfire",Southern California,Land Management,Not Applicable,
E00020,L0015,andrews-creek,Andrews Creek,Evaluating Pre- and Post-Fire Peak Discharge Predictions across Western U.S. Watersheds,2014,"Kinoshita, AM, Hogue, TS, Napper, C",https://doi.org/10.1111/jawr.12226,Journal Article,Analysis,Hydraulics,"Hydraulic Modeling,Frequency Analysis","Flood risk,Watershed planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Wildfire,Western USA,Not Applicable,Not Applicable,
E00021,L0015,arroyo-seco,Arroyo Seco,Evaluating Pre- and Post-Fire Peak Discharge Predictions across Western U.S. Watersheds,2014,"Kinoshita, AM, Hogue, TS, Napper, C",https://doi.org/10.1111/jawr.12226,Journal Article,Analysis,Hydraulics,"Hydraulic Modeling,Frequency Analysis","Flood risk,Watershed planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Wildfire,Western USA,Not Applicable,Not Applicable,
E00022,L0015,devil-canyon,Devil Canyon,Evaluating Pre- and Post-Fire Peak Discharge Predictions across Western U.S. Watersheds,2014,"Kinoshita, AM, Hogue, TS, Napper, C",https://doi.org/10.1111/jawr.12226,Journal Article,Analysis,Hydraulics,"Hydraulic Modeling,Frequency Analysis","Flood risk,Watershed planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Wildfire,Western USA,Not Applicable,Not Applicable,
E00023,L0015,frye-creek,Frye Creek,Evaluating Pre- and Post-Fire Peak Discharge Predictions across Western U.S. Watersheds,2014,"Kinoshita, AM, Hogue, TS, Napper, C",https://doi.org/10.1111/jawr.12226,Journal Article,Analysis,Hydraulics,"Hydraulic Modeling,Frequency Analysis","Flood risk,Watershed planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Wildfire,Western USA,Not Applicable,Not Applicable,
E00024,L0015,bull-3,Bull #3,Evaluating Pre- and Post-Fire Peak Discharge Predictions across Western U.S. Watersheds,2014,"Kinoshita, AM, Hogue, TS, Napper, C",https://doi.org/10.1111/jawr.12226,Journal Article,Analysis,Hydraulics,"Hydraulic Modeling,Frequency Analysis","Flood risk,Watershed planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Wildfire,Western USA,Not Applicable,Not Applicable,
E00025,L0015,rock-creek,Rock Creek,Evaluating Pre- and Post-Fire Peak Discharge Predictions across Western U.S. Watersheds,2014,"Kinoshita, AM, Hogue, TS, Napper, C",https://doi.org/10.1111/jawr.12226,Journal Article,Analysis,Hydraulics,"Hydraulic Modeling,Frequency Analysis","Flood risk,Watershed planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Wildfire,Western USA,Not Applicable,Not Applicable,
E00026,L0015,fridley,Fridley,Evaluating Pre- and Post-Fire Peak Discharge Predictions across Western U.S. Watersheds,2014,"Kinoshita, AM, Hogue, TS, Napper, C",https://doi.org/10.1111/jawr.12226,Journal Article,Analysis,Hydraulics,"Hydraulic Modeling,Frequency Analysis","Flood risk,Watershed planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Wildfire,Western USA,Not Applicable,Not Applicable,
E00027,L0015,hayman,Hayman,Evaluating Pre- and Post-Fire Peak Discharge Predictions across Western U.S. Watersheds,2014,"Kinoshita, AM, Hogue, TS, Napper, C",https://doi.org/10.1111/jawr.12226,Journal Article,Analysis,Hydraulics,"Hydraulic Modeling,Frequency Analysis","Flood risk,Watershed planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Wildfire,Western USA,Not Applicable,Not Applicable,
E00028,L0016,puerto-rico,Puerto Rico,"A Rainfall Intensity-Duration Threshold for Landslides in a Humid-Tropical Environment, Puerto Rico",1993,"Larsen, M, Simon, A",https://doi.org/10.2307/521049,Journal Article,Analysis,"Bathymetry,Hydraulics",Regression,Watershed planning,"Cohesive,Gravel,Sand",Debris,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Debris flow,Puerto Rico,Land Management,"Forestry,Upland",
E00029,L0017,conemaugh-river-lake,Conemaugh River Lake,"The growing reservoir sedimentation problem in the U.S. Army Engineer District, Pittsburgh: Preparing for the 21st century",1999,"Loehlein, WC",https://doi.org/10.1061/40430(1999)104,Conference Paper,Operations,"Bathymetry,Sediment",Not Applicable,"Flood risk,Operations",Not Applicable,Erosion,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Pennsylvania,Deposition Control,Not Applicable,
E00030,L0017,loyalhanna-lake,Loyalhanna Lake,"The growing reservoir sedimentation problem in the U.S. Army Engineer District, Pittsburgh: Preparing for the 21st century",1999,"Loehlein, WC",https://doi.org/10.1061/40430(1999)104,Conference Paper,Operations,"Bathymetry,Sediment",Not Applicable,"Flood risk,Operations",Not Applicable,Erosion,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Pennsylvania,Deposition Control,Not Applicable,
E00031,L0017,crooked-creek-lake,Crooked Creek Lake,"The growing reservoir sedimentation problem in the U.S. Army Engineer District, Pittsburgh: Preparing for the 21st century",1999,"Loehlein, WC",https://doi.org/10.1061/40430(1999)104,Conference Paper,Operations,"Bathymetry,Sediment",Not Applicable,"Flood risk,Operations",Not Applicable,Erosion,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Pennsylvania,Deposition Control,Not Applicable,
E00032,L0017,tionesta-lake,Tionesta Lake,"The growing reservoir sedimentation problem in the U.S. Army Engineer District, Pittsburgh: Preparing for the 21st century",1999,"Loehlein, WC",https://doi.org/10.1061/40430(1999)104,Conference Paper,Operations,"Bathymetry,Sediment",Not Applicable,"Flood risk,Operations",Not Applicable,Erosion,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Pennsylvania,Deposition Control,Not Applicable,
E00033,L0018,,East Coast,Sources and sinks of river sediment in the Atlantic Drainage of the United States.,1982,"Meade, RH",https://doi.org/10.1086/628677,Journal Article,Analysis,"Bathymetry,Water quality,Sediment,Hydraulics","Frequency Analysis,Regression",Watershed Planning,Suspended,"Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Eastern USA,"Land Management,Deposition control",Lowland,
E00034,L0018,,USA,Sources and sinks of river sediment in the Atlantic Drainage of the United States.,1982,"Meade, RH",https://doi.org/10.1086/628677,Journal Article,Analysis,"Bathymetry,Water quality,Sediment,Hydraulics","Frequency Analysis,Regression",Watershed Planning,Suspended,"Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Eastern USA,"Land Management,Deposition control",Lowland,
E00035,L0019,clearwater-national-forest,Clearwater National Forest,Landside occurrence in the western and central northern Rocky Mountain physiographic provinces in Idaho.,1978,"Megahan, WF, Day, NF, Bliss, TM",https://geodata.geology.utah.gov/pages/download.php?direct=1&noattach=true&ref=4784&ext=pdf&k=,Conference Paper,Analysis,Hydraulics,"Frequency Analysis,Regression","Economics,Watershed planning",Not Applicable,"Debris,Erosion",Yes,Yes,Not Applicable,Not Applicable,Flood,Debris flow,Idaho,Land Management,"Upland,Forestry",
E00036,L0019,middle-fork-payette-river,Middle Fork Payette River,Landside occurrence in the western and central northern Rocky Mountain physiographic provinces in Idaho.,1978,"Megahan, WF, Day, NF, Bliss, TM",https://geodata.geology.utah.gov/pages/download.php?direct=1&noattach=true&ref=4784&ext=pdf&k=,Conference Paper,Analysis,Hydraulics,"Frequency Analysis,Regression","Economics,Watershed planning",Not Applicable,"Debris,Erosion",Yes,Yes,Not Applicable,Not Applicable,Flood,Debris flow,Idaho,Land Management,"Upland,Forestry",
E00037,L0020,aswan-high-dam,Aswan High Dam,Predicting the deposition in the Aswan High Dam Reservoir using a 2-D model,2013,"Moussa, AMA",https://doi.org/10.1016/j.asej.2012.08.004,Journal Article,"Planning,Design,Analysis","Bathymetry,Sediment","Hydraulic Modeling,Sediment Transport Modeling,Frequency Analysis,Regression","Watershed Planning,Maintenance,Operations","Suspended,Bedload","Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Egypt,Deposition control,Not Applicable,
E00038,L0021,lower-fox-river,Lower Fox River,"Comparison of Two Techniques to Measure Sediment Erodibility in the Fox River, Wisconsin",2007,"Ravens, T",https://doi.org/10.1061/(ASCE)0733-9429(2007)133:1(111),Journal Article,Analysis,"Bathymetry,Water Quality,Sediment","Laboratory Analysis,Sediment Transport Modeling",Not Applicable,"Cohesive,Suspended","Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Wisconsin,Not Applicable,Not Applicable,
E00039,L0022,great-lakes,Great Lakes,Sediment Budget Development for the Great Lakes Region,2010,"Riedel, M, Selegean J, Dahl, T",https://www.researchgate.net/profile/Mark-Riedel/publication/228481087_SEDIMENT_BUDGET_DEVELOPMENT_FOR_THE_GREAT_LAKES_REGION/links/5b54c75c45851507a7bdc43d/SEDIMENT-BUDGET-DEVELOPMENT-FOR-THE-GREAT-LAKES-REGION.pdf,Conference Paper,"Planning,Operations,Maintenance,Reporting,Analysis",Sediment,Sediment Transport Modeling,"Watershed Planning,Maintenance,Operations","Cohesive,Suspended,Bedload",Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Great Lakes, USA","Land Management,Deposition control",Multi-use,
