nidid,name,other_names,river_or_stream,city,state,primary_purpose,purposes,primary_dam_type,year_completed,nid_height,dam_length,nid_storage,normal_storage,surface_area,drainage_area,max_discharge,hazard_potential,condition_assessment,owner_types,website_url
AZ10317,Theodore Roosevelt Dam,Theodore Roosevelt Lake,Salt River,Globe,Arizona,Hydroelectric,"Hydroelectric, Irrigation, Recreation",Masonry,1911,357,723,3411500,1653043,31852,5802.39,75000,High,Not Available,Federal,https://www.usbr.gov/ssle/damsafety/
CA00035,Oroville,,Feather River                 ,Oroville,California,Flood Risk Reduction,"Flood Risk Reduction, Hydroelectric, Irrigation, Recreation, Water Supply",Earth,1968,770,6920,3540000,3540000,15800,3611,227000,High,Fair,State,https://www.ferc.gov/dam-safety-and-inspections
CA00173,Camanche Dike No. 2,,Mokelumne River               ,Clements,California,Water Supply,"Fish and Wildlife Pond, Flood Risk Reduction, Hydroelectric, Recreation, Water Supply",Earth,,90,7300,417000,417000,7600,,,High,Satisfactory,Public Utility,https://www.ferc.gov/dam-safety-and-inspections
CA00189,Devils Gate,,Arroyo Seco,Pasadena,California,Flood Risk Reduction,"Flood Risk Reduction, Other, Water Supply",Gravity,1920,108,252,2600,,110,29.7,,High,Satisfactory,Local Government,https://damsafety.org/california
CA00191,Big Tujunga No. 1,,Big Tujunga Cr,Tujunga,California,Flood Risk Reduction,"Flood Risk Reduction, Other, Water Supply",Gravity,1931,220,505,5750,,83,81.7,,High,Satisfactory,Local Government,https://damsafety.org/california
CA00227,Camp Far West,,Bear River                    ,Sheridan                                          ,California,Irrigation,"Hydroelectric, Irrigation, Recreation",Earth,1963,203,6040,137280,93740,2020,285,104500,High,Fair,Public Utility,https://www.ferc.gov/dam-safety-and-inspections
CA00265,Tulloch,,Stanislaus River              ,Knights Ferry,California,Hydroelectric,"Flood Risk Reduction, Hydroelectric, Recreation",Concrete,1958,205,1914,68400,67000,1260,980,13900,High,Satisfactory,Public Utility,https://www.ferc.gov/dam-safety-and-inspections
CA00278,La Grange,,Tuolumne River                ,La Grange,California,,,Masonry,1893,131,310,500,350,58,,,Significant,Satisfactory,Public Utility,https://www.ferc.gov/dam-safety-and-inspections
CA00281,Don Pedro Dike B,,Tuolumne River                ,La Grange                                         ,California,Hydroelectric,"Fish and Wildlife Pond, Flood Risk Reduction, Hydroelectric, Irrigation, Recreation",Earth,1971,36,560,2300000,2030000,13000,,,High,Satisfactory,Public Utility,https://www.ferc.gov/dam-safety-and-inspections
CA00312,Matilija,,Matilija Creek,Ojala,California,Other,"Irrigation, Other, Water Supply",Arch,1949,163,620,1800,,86,55,,High,Poor,Local Government,https://damsafety.org/california
CA00863,New Bullards Bar,,North Yuba River              ,Marysville,California,Hydroelectric,"Fish and Wildlife Pond, Flood Risk Reduction, Hydroelectric, Irrigation, Recreation, Water Supply",Concrete,1970,645,2323,1010000,996000,4830,485,160000,High,Satisfactory,Public Utility,https://www.ferc.gov/dam-safety-and-inspections
CA01364,Devil Canyon Second Afterbay,,Devil Canyon Creek            ,San Bernardino,California,Water Supply,"Hydroelectric, Water Supply",Earth,1995,88,106,960,850,36,6,2960,High,Satisfactory,State,https://www.ferc.gov/dam-safety-and-inspections
CA10022,Prado Dam - Yorba Slaughter Adobe Dike,Adobe Dike,Santa Ana River,Chino,California,Flood Risk Reduction,Flood Risk Reduction,Earth,2017,44,,,0,,,,Significant,Not Available,Federal,
CA10102,Black Butte Dam - Dike 6,Black Butte Lake,Stony Creek,,California,Flood Risk Reduction,"Flood Risk Reduction, Hydroelectric, Irrigation, Recreation",Earth,1963,7,220,,105900,4560,736,,Low,Not Available,Federal,
CA10105,Harry L. Englebright Dam,Harry L. Englebright Lake,Yuba River,Marysville,California,Debris Control,"Debris Control, Hydroelectric, Recreation",Arch,1941,280,1142,103000,70590,815,1100,350000,High,Not Available,Federal,https://www.spk.usace.army.mil/Missions/Civil-Works/Dam-Safety-Program/
CA10109,New Hogan Dam,New Hogan Lake,Calaveras River,Jenny Lind,California,Flood Risk Reduction,"Flood Risk Reduction, Hydroelectric, Irrigation, Recreation",Rockfill,1963,210,1960,348598,217410,4400,363,106400,High,Not Available,Federal,https://www.spk.usace.army.mil/Missions/Recreation/New-Hogan-Lake/
CA10148,Folsom Right Wing,Folsom Lake,American River,Folsom,California,Flood Risk Reduction,"Flood Risk Reduction, Hydroelectric, Irrigation, Recreation, Water Supply",Earth,1956,145,6700,1120000,,11180,1570,0,High,Not Available,Federal,https://www.usbr.gov/ssle/damsafety/
CA10186,Shasta Dam,Shasta Lake,Sacramento River,Redding,California,Hydroelectric,"Hydroelectric, Irrigation, Navigation, Recreation, Water Supply",Concrete,1945,602,3460,4661860,4552090,30210,6110.7300000000005,186000,High,Not Available,Federal,https://www.usbr.gov/ssle/damsafety/
CA10196,Trinity Dam,"Clair Engle Lake, Trinity Lake",Trinity River,,California,Hydroelectric,"Hydroelectric, Irrigation, Recreation",Earth,1962,538,2450,2760870,2447650,17722,692.41,22400,High,Not Available,Federal,https://www.usbr.gov/ssle/damsafety/
