short_id,dam_name,survey_yr1,survey_yr2
599,Millett Swale,1959,1983
790,Whitlow Ranch Dam,1957,2016
799,Granite Basin,1939,1967
807,Glen Canyon,1963,2017
808,Bartlett,1939,2022
809,Horseshoe,1946,2012
813,Theodore Roosevelt,1995,2023
903,Milliken,1924,1958
913,Gibraltar,1919,1969
916,Newell,1960,1982
917,Pardee,1929,1943
920,Cogswell,1935,1981
922,Live Oak,1922,1962
923,San Gabriel,1937,1983
924,Eaton Wash Debris Basin,1936,1988
925,Juncal,1930,1980
927,Morris,1934,1970
932,Littlerock,1924,1953
938,Coyote,1946,1989
939,James J. Lenihan,1952,2001
941,Santiago Creek,1931,1948
942,North Fork,1938,1951
944,Mockingbird Canyon,1914,1940
954,Crane Valley,1901,1946
965,Upper Bear,1900,1946
971,Lyons,1930,1946
977,Scott,1921,1984
980,Morris,1924,1966
1034,Ridgewood,1930,1966
1041,Salt Springs Valley,1882,1945
1070,Williams,1913,1971
1072,Los Padres,1949,1984
1079,Lake Sherwood,1905,1938
1085,Lake Hemet,1892,1940
1109,Copperopolis,1915,1945
1201,Brea Dam,1939,2016
1202,Prado Dam,1940,2008
1206,Farmington Dam,1952,2004
1207,Isabella Dam,1953,1968
1208,New Hogan Dam,1959,2016
1209,Pine Flat Dam,1954,1973
1211,Terminus Dam,1961,2016
1213,Clear Lake,1910,2007
1214,East Park,1910,2023
1217,Stony Gorge,1928,1962
1218,Twitchell,1953,2018
1219,Salinas Dam,1941,1975
1239,Hume Lake,1909,1946
1266,Bear Creek Dam,1980,2016
1268,Horse Creek,1900,1940
1269,Kiowa Crk Wtrshd K-79,1955,1975
1271,Trinidad Dam,1980,2018
1331,Pueblo,1974,2023
1366,Cheesman,1900,1931
1759,Teller,1911,1940
1909,Cucharas,1912,1939
1925,Chatfield Dam,1971,2016
1926,John Martin Dam,1944,2017
1931,Bonny,1951,2010
1974,Olympus,1948,2022
1975,Rattlesnake,1954,2012
1984,Blue Mesa,1961,2019
1992,Paonia,1961,2015
2057,Hardesty,1908,1968
2119,Twin Lakes Bor,1964,2017
2464,Broad Brook Mill Pond Dam,1916,1951
2466,Jim Woodruff Lock and Dam,1954,2009
2569,Sky Lake Dam,1925,1956
2814,West Point Dam,1978,2009
2815,Carters Main Dam,1965,2009
2816,Carters Re-Regulation Dam,1973,2009
2817,Buford Dam,1956,2009
2842,Lloyd Shoals,1910,1935
3966,Allatoona Dam,1949,2009
4937,Blue Ridge Dam,1944,1968
4941,Coralville Dam,1958,2019
4943,Red Rock Dam,1969,2011
4949,Saylorville Dam,1977,2014
5003,Lake Wapello Dam,1937,1971
5171,Springbrook Lake Dam,1936,1980
5180,Bobwhite Lake Dam,1913,1939
5655,Daniels,1967,1992
5656,Pioneer,1904,1954
5657,Salmon Falls,1910,1955
5701,Deer Flat Upper,1908,1994
5703,Anderson Ranch,1945,1998
5704,Arrowrock,1915,1997
5705,Black Canyon Diversion,1924,2024
5706,Cascade,1947,1995
5707,Deadwood,1930,2002
5708,Mann Creek,1967,1992
5748,Farmdale Dam,1951,2014
5749,Fondulac Dam,1949,2014
5750,West Frankfort Old City Lake Dam,1926,1949
5751,Carbondale Reservoir Dam,1926,1948
5752,Marion Reservoir Dam,1921,1951
5753,Christopher Old Reservoir Dam,1925,1960
5754,Eldorado Reservoir Dam,1920,1949
5757,Shelbyville Dam,1969,2017
5759,Patterson Lake Dam,1926,1959
5763,Charley Brown Park Lake Dam,1938,1959
5764,Illinois Central Reservoir Dam,1926,1960
5765,Salem Reservoir Dam,1912,1960
5766,Carthage Lake 1 Dam,1926,1949
5768,Lake Bloomington Dam,1929,1955
5769,Lake Bracken Dam,1923,1949
5770,Calhoun Lake Dam,1924,1947
5771,Lake Duquoin Dam,1937,1957
5772,Panama Lake Dam,1928,1958
5773,Mauvaise Terre Lake Dam,1921,1952
5780,Pine Lake Dam,1925,1946
5781,White Hall Reservoir Dam,1897,1952
5782,Staunton Reservoir Dam,1926,1954
5785,Old Gillespie Lake Dam,1923,1954
5786,Lake Carlinville Dam,1939,1959
5794,Mt. Olive City Lake Dam,1938,1958
5801,Lake Salinda Dam,1949,1971
5802,Huntingburg City Lake Dam,1894,1940
5803,Little Raccoon Dam No. 2c - Rockville Dam,1971,1994
5810,Cagles Mill Dam,1947,1989
5811,Salamonie Dam,1960,1984
5815,Council Grove Dam,1964,2008
5816,Elk City Dam,1966,2010
5817,Fall River Dam,1948,2010
5818,John Redmond Dam,1963,2023
5820,Kanopolis Dam,1948,2017
5821,Marion Dam,1968,2008
5822,Perry Dam,1969,2009
5823,Toronto Dam,1960,2011
5824,Tuttle Creek Dam,1962,2020
5826,Wilson Dam,1964,2008
5828,Cedar Bluff,1950,2000
5829,Glen Elder,1967,2001
5832,Kirwin,1955,1996
5833,Lovewell,1957,1995
5834,Norton,1964,2000
5835,Webster,1956,1996
5836,El Dorado Dam,1981,2011
5845,Big Hill Dam,1981,2010
7276,Mission Lake,1924,1967
7283,Lake Herington,1922,1966
7285,Polk Daniels Lake,1936,1965
7312,Sabetha City Lake Dam,1936,1960
7514,Riverton Bypass Spillway,1905,1939
9607,Berea Reservoir,1954,1974
9621,Nf Little River Mps 4b,1907,1959
9627,N Fork of Rough River FRS No 1,1955,1970
9631,Plum Creek FRS No 15,1956,1975
9684,Nolin River Dam,1957,2014
9686,Buckhorn Dam,1960,1987
9687,Fishtrap Dam,1968,2003
9688,Dewey Dam,1950,2003
9690,Laurel Dam,1966,1995
9691,Carr Creek Dam,1964,1998
9695,Martins Fork Dam,1978,1992
9726,Loring Lake,1928,1954
9727,West Whately Reservoir Dam,1902,1951
9729,Westfield Reservoir Dam,1874,1951
9730,Prettyboy Dam,1933,1961
9731,Loch Raven Dam,1914,1961
9732,Liberty Dam,1954,1973
9733,Brighton,1942,1964
9734,Greenbelt Dam,1936,1957
9735,Atkisson Reservoir,1942,1965
9736,Jennings Randolph Dam,1964,2013
9755,Norvell Dam,1869,1969
9756,Ford Lake,1933,1969
9763,Sharon Mills Dam,1927,1969
9765,Iron Lake Dam,1869,1969
9766,Newburgh Dam,1933,1969
9767,Phoenix Dam,1869,1969
9769,Waterford Dam,1869,1969
9772,French Landing,1929,1969
9775,Barton Dam,1915,1969
9779,Tecumseh Dam,1907,1969
9780,Lake Adrian Dam,1942,1969
9831,Lake Okabena,1897,1963
9855,Ashland Wildlife Area Dam,1937,1971
9856,Lost Creek #1,1956,1976
9867,Higginsville North Reservoir Dam,1924,1964
9870,Smithville Dam,1979,2010
10148,Harry S. Truman Dam,1979,2010
10165,Lake Killarney Dam,1910,1939
10174,Ozark Beach,1913,1935
10182,Stockton Dam,1969,2019
10183,Pomme De Terre Dam,1961,2017
10185,Wappapello Dam,1940,1964
10330,Longview Dam,1985,2009
10468,Okatibbee Dam,1970,2009
10469,Sardis Dam,1937,1960
10470,Arkabutla Dam,1939,1962
10888,Nevada Creek Dam,1937,1973
10896,Fort Peck Dam,1938,2007
11299,Canyon Ferry,1953,2016
11300,Clark Canyon,1964,2016
11301,Fresno,1939,2010
11302,Gibson,1929,2009
11303,Lake Sherburne,1948,2002
11318,Yellowtail,1965,2017
11320,Willow Creek Bor Mt,1911,2019
11322,Tiber,1957,2021
14177,B. Everett Jordan Dam,1979,1997
14181,Apalachia Dam,1943,1965
14202,Kanuga Conference Lake Dam,1908,1956
14207,Osceola Lake Dam,1923,1956
14234,Fontana Dam,1944,1967
14235,W. Kerr Scott Dam,1962,2010
14240,Salem Lake Dam,1919,1939
14277,Chatuge Dam,1942,1965
14282,Cheoah,1918,1941
14290,Hiwassee Dam,1940,1965
14305,Eury,1915,1940
14374,Roxboro Municipal Lake Dam,1924,1946
14409,Lake Cammack Dam,1928,1949
15059,Renwick Dam,1962,1990
15089,Raleigh Dam,1909,1956
15114,Dougherty Dam,1935,1957
15122,Garrison Dam,1945,2012
15126,Dickinson,1950,2013
15127,Heart Butte,1949,2013
15129,Jamestown,1954,2023
15165,Blabon Dam 2,1935,1955
15190,Adams Dam,1911,1955
15205,Baldhill Dam,1952,2020
15206,Homme Dam,1953,2004
16124,Conestoga Dam,1964,2016
16125,Wagon Train Dam,1963,2018
16126,Pawnee Dam,1966,2023
16127,Yankee Hill Dam,1966,2018
16128,Stagecoach Dam,1964,2018
16130,Olive Creek Dam,1964,2018
16131,Branched Oak Dam,1967,2017
16132,Bluestem Dam,1964,2021
16133,Standing Bear Dam,1976,2009
16134,Harlan County Dam,1952,2010
16135,Box Butte,1945,2003
16136,Enders,1950,1997
16137,Medicine Creek,1949,2006
16138,Merritt,1964,2003
16139,Red Willow,1961,1997
16140,Trenton,1953,2011
16352,Glenn Cunningham Dam,1976,2009
16491,Wehrspann Dam,1984,2009
16553,Zorinsky Dam,1985,2007
16590,Virginia Smith,1985,2012
17031,Columbia Dam,1909,1957
17072,Abiquiu Dam,1963,2021
17073,Galisteo Dam,1966,1983
17074,Jemez Canyon Dam,1953,1998
17075,Two Rivers Diamond A Dam,1963,2014
17076,Conchas Dam,1939,2015
17109,Heron,1970,2010
17114,Elephant Butte,1915,2017
17115,Sumner,1944,2013
17116,Caballo,1938,2007
17117,Avalon,1905,2023
17132,Santa Rosa Dam,1980,1996
17180,Santa Cruz Dam,1929,1956
17258,Cochiti Dam,1972,2017
17262,Nambe Falls,1976,2013
17299,Brantley,2001,2013
17396,El Vado,1935,2018
17434,Hoover,1935,2001
17435,Lahontan,1969,2019
17558,Wappingers Falls,1900,1952
17559,Gilboa Dam,1926,2014
17565,Orchard Park Reservoir Dam,1928,1951
17567,Caneadea Dam,1925,1951
17568,Mount Morris Dam,1963,2009
17606,Whitney Point Dam,1941,1996
17612,East Sidney Dam,1949,2012
17634,Beach City Dam,1936,1993
17636,Dillon Dam,1960,1998
17639,Deer Creek Dam,1968,2004
17641,Delaware Dam,1951,1975
17643,Tom Jenkins Dam,1952,1978
17644,Charles Mill Dam,1946,1975
17645,West Fork of Mill Creek Dam,1952,1990
17646,Mosquito Creek Dam,1944,2000
17647,Berlin Dam,1943,1999
17649,Lake Hope Dam,1939,1969
17652,Lake Grant Dam,1948,1971
17656,Westville Lake Dam,1913,1950
17657,Mineral Ridge Dam,1929,1949
17658,Auglaize Hydro,1912,1951
17661,Lake Milton Dam,1916,1941
17662,Germantown Dam,1920,1942
17664,Lake Loramie Dam,1840,1960
17665,Lake White Dam,1935,1951
17672,Jefferson Lake Dam,1935,1961
17682,Grand Lake St. Marys - West Embankment,1844,1940
17686,Knox Lake Dam,1949,1970
17690,Lake Rockwell Dam,1914,1977
17699,Julian Griggs Dam,1905,1964
17700,O''Shaughnessy,1925,1951
18211,Sapulpa Lake,1913,1946
19155,Altus,1940,2007
19159,Fort Cobb,1959,1993
19160,Foss,1961,2009
19161,Norman,1965,2015
19284,Hugo Dam,1974,2015
19285,Pine Creek Dam,1978,2011
19286,Broken Bow Dam,1968,2018
19287,Eufaula Dam,1964,2015
19288,Keystone Dam,1965,2020
19290,Oologah Dam,1963,2020
19292,Heyburn Dam,1949,2015
19293,Wister Dam,1949,2017
19294,Canton Dam,1950,2016
19295,Denison Dam,1942,2016
19297,Fort Supply Dam,1943,2010
19298,Great Salt Plains Dam,1941,2010
20428,Kaw Dam,1975,2020
21122,Copan Dam,1983,2015
21332,Arcadia Dam,1986,2017
21334,Skiatook Dam,1984,2017
21335,Waurika Dam,1977,2010
21847,Warm Springs,1919,2000
21851,Ochoco,1920,1990
21891,Harriet Lake,1924,1948
21893,Bully Creek,1963,2000
21894,Arthur R. Bowman,1960,1998
21895,Mckay,1927,1993
21896,Agency Valley,1935,2000
