site_id,site_name,nid_id,responsible_districtagency,address,city,site_type,sediment_release,ecological_concern,analysis,longitude,latitude
tuttle-creek,Tuttle Creek,KS00012,USACE,"West Campground Drive, Kansas","Manhattan, KS","Flood control,Water supply",Water Injection Dredging,"Sand Bars,Water Quality","Field Monitoring,2D Sediment",-96.5943465450358,39.2562232982835
fall-creek,Fall Creek,OR00007,USACE,"Wineberry Creek Road, Unity, Oregon, 97452",,Flood Control,Drawdown,"Fish Passage,Spawning,Water Quality,Biological Opinion,Endangered Species","1D Unsteady Sediment,Field Monitoring",-122.755499,43.9463920000001
cochiti,Cochiti,NM00404,USACE,"Dam Crest Road, Cochiti Lake, New Mexico, 87072","Cochiti, NM","Flood Control,Sediment Control",Not Applicable,Endangered Species,"1D Unsteady Sediment ,Field Monitoring",-106.318266,35.620953
bonnet-carre-spillway,Bonnet Carré Spillway,,"USACE,New Orleans District","River Road, Norco, Louisiana, 70079","New Orleans, LA",Flood Control,Diversion,Not Applicable,Field Monitoring,-90.441389,30.0022220000001
ohio-river,Ohio River,,"USACE,Lousville","Ryle Road, Kentucky","Mound City, IL",River Training Dike,Not Applicable,Not Applicable,2D Sediment,-84.784961,38.8663730000001
mud-mountain-dam,Mud Mountain Dam,WA00300,"USACE,Seattle District","30525 Rim Trail, Enumclaw, Washington, 98022","Enumclaw, WA",Flood Control,Not Applicable,Not Applicable,1D Unsteady Sediment,-121.93131,47.1422000000001
madeira-river,Madeira River,,Union of South American Nations (USAN),"Rua 53, HumaitÃ¡, Amazonas, 69800-000","Humaitá, Amazonas, Brazil",,Not Applicable,Not Applicable,Field Monitoring,-63.020833,-7.50611099999998
mississippi-river,Mississippi River,,"USACE,New Orleans District","LA 44, Lutcher, Louisiana, 70763","New Orleans, LA",,Not Applicable,Not Applicable,Field Monitoring,-90.739139,30.014667
dahla-dam,Dahla Dam,,Helmand and Arghandab Valley Authority (HAVA),,"Kandahar, Afghanistan",Water supply,Not Applicable,Not Applicable,1D Unsteady Sediment,65.892413,31.8555440000001
big-rapids-dam,Big Rapids Dam,,City of Big Rapids,"Maple Street, Big Rapids, Michigan, 49307","Big Rapids, MI","Water supply,Hydropower",Dam Removal,Water Quality,Field Monitoring,-85.4836109999999,43.6980560000001
arroyo-seco,Arroyo Seco,CA00189,California,"Mount Lukens Road, Pasadena, California, 91011","La Cañada Flintridge, CA",,Not Applicable,Not Applicable,Field Monitoring,-118.194907,34.2359520000001
jesusita,Jesusita,,California,"Mission Canyon Catway, California, 93103","Santa Barbara, CA",,Not Applicable,Not Applicable,Field Monitoring,-119.700106,34.4664530000001
dunsmore-2,Dunsmore 2,,California,"Crescenta View Trail, Glendale, California, 91214","La Crescenta-Montrose, CA",,Not Applicable,Not Applicable,Field Monitoring,-118.246525,34.2528780000001
dunsmore-1,Dunsmore 1,,California,"Dunsmore Canyon Trail, Glendale, California, 91214","La Crescenta-Montrose, CA",,Not Applicable,Not Applicable,Field Monitoring,-118.242018,34.2594800000001
big-tujunga,Big Tujunga,CA00191,California,"Stone Canyon Trail, California","Wildwood, CA",,Not Applicable,Not Applicable,Field Monitoring,-118.233592,34.2871870000001
andrews-creek,Andrews Creek,,Washington,"Andrews Creek Trail 504, Washington","Mazama, WA",,Not Applicable,Not Applicable,Hydraulic,-120.146,48.823
devil-canyon,Devil Canyon,CA01364,California,"Devils Canyon Road, San Bernardino, California, 92322","San Bernardino, CA",,Not Applicable,Not Applicable,Hydraulic,-117.331,34.208
frye-creek,Frye Creek,,Arizona,"Frye Canyon Trail #36, Arizona","Thatcher, AZ",,Not Applicable,Not Applicable,Hydraulic,-109.838,32.744
bull-3,Bull #3,,California,"Forest Route 24S19, California","Kernville, CA",,Not Applicable,Not Applicable,Hydraulic,-118.46,35.835
rock-creek,Rock Creek,,California,"Feather River Highway, Storrie, California","Storrie, CA",,Not Applicable,Not Applicable,Hydraulic,-121.345,39.905
fridley,Fridley,,Montana,"West Pine Creek Road, Montana","Emigrant, MT",,Not Applicable,Not Applicable,Hydraulic,-110.78,45.51
hayman,Hayman,,Colorado,"Matukat Road, Colorado","Woodland Park, CO",,Not Applicable,Not Applicable,Hydraulic,-105.36,39.1800000000001
puerto-rico,Puerto Rico,,Puerto Rico,"Carretera 157, Puerto Rico",Puerto Rico,,Not Applicable,Not Applicable,Field Monitoring,-66.4920299999999,18.2271500000001
conemaugh-river-lake,Conemaugh River Lake,,"USACE,Pittsburg District","West Penn Trail - Bow Ridge Switchback, Derry Township, Pennsylvania, 15725","Saltsburg, PA",Flood Control,Not Applicable,Not Applicable,Field Monitoring,-79.366233,40.4680670000001
loyalhanna-lake,Loyalhanna Lake,,"USACE,Pittsburg District","Loyalhanna Dam Road, Loyalhanna Township, Pennsylvania","Saltsburg, PA",Flood Control,Not Applicable,Not Applicable,Field Monitoring,-79.451667,40.456667
crooked-creek-lake,Crooked Creek Lake,,"USACE,Pittsburg District","Robb's Fording Road, Burrell Township, Pennsylvania","Ford City, PA",Flood Control,Not Applicable,Not Applicable,Field Monitoring,-79.499,40.6990000000001
tionesta-lake,Tionesta Lake,,"USACE,Pittsburg District","Tionesta Lake, Tionesta Township, Pennsylvania","Tionesta, PA",Flood Control,Not Applicable,Not Applicable,Field Monitoring,-79.439444,41.473333
east-coast-usa,"East Coast, USA",,USACE,"625 Campostella Road, Norfolk, Virginia, 23523",,,Not Applicable,Water Quality,Field Monitoring,-76.26303,36.8340200000001
clearwater-national-forest,Clearwater National Forest,,"USACE,Walla Walla District","Mire Creek Road 4, Idaho","Orofino, ID",,Not Applicable,Not Applicable,Field Monitoring,-115.160278,46.551111
middle-fork-payette-river,Middle Fork Payette River,,"USACE,Walla Walla District","Windy River Road, Crouch, Idaho, 83622","Crouch, ID",,Not Applicable,Not Applicable,Field Monitoring,-115.966694,44.1311940000001
aswan-high-dam,Aswan High Dam,,High Aswan Dam Authority (HADA),,"Aswan, Egypt",Water supply,Not Applicable,Not Applicable,"Field Monitoring,2D Sediment,Hydraulic",32.877778,23.970556
lower-fox-river,Lower Fox River,,Wisconsin,"South 5th Street, De Pere, Wisconsin, 54115","De Pere, WI",,Not Applicable,Water Quality,1D Unsteady Sediment,-88.074167,44.446111
great-lakes,Great Lakes,,"USACE,Detroit District,Buffalo District",Michigan,,,Not Applicable,Water Quality,Field Monitoring,-82.4,44.8000000000001
mill-creek-channel,Mill Creek Channel,,"USACE,Walla Walla District","Double River Road, Washington","Walla Walla, WA","Flood control,Water supply",Diversion,Fish Passage,Hydraulic,-118.478611,46.0386110000001
mercier-dam,Mercier Dam,,"Antoine-Labelle Regional County Municipality,La Vallée-de-la-Gatineau Regional County Municipality","Grand-Remous, QuÃ©bec, J0W 1E0","Quebec, Canada",Hydropower,Not Applicable,Not Applicable,"Field Monitoring,Hydraulic",-75.8,46.8000000000001
